State Code,County Code,Site Number,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2012-11-09,Parts per billion,6.75,13.1,6,12,Parts per million,0.038875,0.045,10,38,Parts per billion,0.091667,0.2,0,0.0,Parts per million,0.125,0.2,0,2.0
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2004-10-12,Parts per billion,26.25,51.0,20,48,Parts per million,0.0185,0.043,9,36,Parts per billion,3.5,7.0,7,10.0,Parts per million,0.85,1.3,1,15.0
11,1,41,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2013-07-22,Parts per billion,6.909091,16.0,6,15,Parts per million,0.030083,0.041,9,35,Parts per billion,0.840909,1.7,19,1.0,Parts per million,0.058333,0.1,0,1.0
42,133,8,HILL ST.,Pennsylvania,York,York,2011-04-03,Parts per billion,8.875,22.0,5,21,Parts per million,0.041208,0.051,9,43,Parts per billion,0.458333,2.0,5,3.0,Parts per million,0.154167,0.2,0,2.0
42,101,4,1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,2010-05-28,Parts per billion,11.266667,18.7,6,17,Parts per million,0.02125,0.026,10,22,Parts per billion,2.052174,3.7,9,4.0,Parts per million,0.145833,0.2,13,2.0
6,71,2002,"14360 ARROW BLVD., FONTANA",California,San Bernardino,Fontana,2011-02-12,Parts per billion,24.790909,44.9,19,42,Parts per million,0.016042,0.041,10,35,Parts per billion,0.740909,2.0,8,3.0,Parts per million,0.458333,0.7,4,8.0
29,510,85,"BLAIR STREET: 3247 Blair Street, St. Louis, MO 63107",Missouri,St. Louis City,St. Louis,2014-10-02,Parts per billion,16.1125,27.2,6,25,Parts per million,0.02,0.026,12,24,Parts per billion,2.254545,3.7,16,4.0,Parts per million,0.25,0.3,1,3.0
6,73,1,"80 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,2006-10-16,Parts per billion,9.636364,24.0,5,23,Parts per million,0.039042,0.044,8,37,Parts per billion,2.136364,3.0,4,4.0,Parts per million,0.658333,0.7,0,8.0
5,119,7,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,2010-01-11,Parts per billion,13.916667,25.0,21,24,Parts per million,0.023375,0.034,10,29,Parts per billion,1.45,3.4,7,4.0,Parts per million,0.216667,0.3,20,3.0
37,119,41,1130 EASTWAY DRIVE,North Carolina,Mecklenburg,Charlotte,2003-05-28,Parts per billion,20.416667,45.0,21,42,Parts per million,0.030042,0.06,10,51,Parts per billion,0.291667,2.0,7,3.0,Parts per million,0.629167,0.8,5,9.0
4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2014-07-07,Parts per billion,7.166667,19.0,6,18,Parts per million,0.047708,0.073,10,108,Parts per billion,1.266667,1.6,10,1.0,Parts per million,0.354167,0.4,1,5.0
48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2002-01-27,Parts per billion,21.090909,35.0,19,33,Parts per million,0.027083,0.044,11,37,Parts per billion,3.0,8.0,10,11.0,Parts per million,0.308333,0.4,0,5.0
35,1,23,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,2015-06-24,Parts per billion,4.440909,11.2,6,10,Parts per million,0.035,0.048,10,44,Parts per billion,0.5875,0.7,6,0.0,Parts per million,0.1125,0.2,12,2.0
51,59,5,CUB RUN LEE RD CHANT.(CUBRUN TREAT PLANT,Virginia,Fairfax,Not in a city,2007-07-28,Parts per billion,4.333333,16.0,7,15,Parts per million,0.038042,0.058,11,49,Parts per billion,0.625,3.0,23,4.0,Parts per million,0.479167,0.5,0,6.0
5,119,7,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,2011-07-10,Parts per billion,5.254167,8.1,3,8,Parts per million,0.035167,0.053,9,45,Parts per billion,0.570833,1.0,10,1.0,Parts per million,0.366667,0.4,0,5.0
6,95,4,304 TUOLUMNE ST.,California,Solano,Vallejo,2008-06-22,Parts per billion,4.173913,7.0,21,7,Parts per million,0.028958,0.039,9,33,Parts per billion,0.863636,1.0,0,1.0,Parts per million,0.354167,0.4,5,5.0
6,83,2004,"128 S 'H' ST, LOMPOC",California,Santa Barbara,Lompoc,2009-02-05,Parts per billion,0.652174,5.0,9,5,Parts per million,0.036958,0.046,0,39,Parts per billion,1.130435,2.0,0,3.0,Parts per million,0.2,0.3,0,3.0
17,163,10,13TH & TUDOR,Illinois,Saint Clair,East Saint Louis,2004-10-03,Parts per billion,17.333333,38.0,19,36,Parts per million,0.01625,0.034,10,29,Parts per billion,7.5,26.0,12,37.0,Parts per million,0.575,1.1,0,13.0
42,73,15,CROTON ST & JEFFERSON ST.,Pennsylvania,Lawrence,New Castle,2000-06-24,Parts per billion,20.625,29.0,8,27,Parts per million,0.045292,0.073,11,93,Parts per billion,24.125,61.0,21,82.0,Parts per million,0.629167,0.7,7,8.0
